,name,identification,sex,petition
5,"Richards, Mary",Householder,F,Pro-P
6,"Morall, Sarah",Householder,F,Pro-P
7,"Stacy, Hannah",Householder,F,Pro-P
8,"Fuller, Susan:",Householder,F,Pro-P
9,"Goodale, Sarah",Householder,F,Pro-P
10,"Walcot, Mary",Householder,F,Pro-P
11,"Goodale, Mary",Householder,F,Pro-P
12,"Goodale, Eliz:",Householder,F,Pro-P
13,"Hutchinson, Mary",Householder,F,Pro-P
14,"Walcot, Priscilla",Householder,F,Pro-P
15,"Allin, Eliz:",Householder,F,Pro-P
16,"Goodale, Mary",Householder,F,Pro-P
17,"Putnam, Hannah",Householder,F,Pro-P
18,"Lain, Abagail",Householder,F,Pro-P
19,"Dale, Eliz:",Householder,F,Pro-P
20,"Byshop, Susan:",Householder,F,Pro-P
21,"Ray, Ruth",Householder,F,Pro-P
22,"Eliot, Abagail",Householder,F,Pro-P
23,"Hutchinson, Jane",Householder,F,Pro-P
24,"Walcot, Jonath:",Householder,M,Pro-P
25,"Flint, Thomas",Householder,M,Pro-P
26,"Walcot, Jno.",Householder,M,Pro-P
27,"Hutchinson, Benja.",Householder,M,Pro-P
28,"Dale, Jno.",Householder,M,Pro-P
29,"Allin, Wm.",Householder,M,Pro-P
30,"Putnam, Jno. [III]",Householder,M,Pro-P
31,"Wheldon, Jno.",Householder,M,Pro-P
32,"Walcot, Jonath: Junr",Householder,M,Pro-P
33,"Goodale, Isaac",Householder,M,Pro-P
34,"Haines, Tho:",Householder,M,Pro-P
35,"Ingersoll, Geo:",Householder,M,Pro-P
36,"Stacy, Benja.",Householder,M,Pro-P
37,"Wilkins, Sam:",Householder,M,Pro-P
38,"Morall, Robt.",Householder,M,Pro-P
39,"Fuller, Jonath:",Householder,M,Pro-P
40,"Goodale, Zech: Junr",Householder,M,Pro-P
41,"Hutchinson, Jno.",Householder,M,Pro-P
42,"Holton, Henry",Householder,M,Pro-P
43,"Eliott, Francis",Householder,M,Pro-P
44,"Goodale, Zech: Junr",Householder,M,Pro-P
45,"Hadlock, Jno.",Householder,M,Pro-P
46,"Brown, Henry",Householder,M,Pro-P
47,"Putnam, Eliezar",Householder,M,Pro-P
48,"Rea, Jno.",Householder,M,Pro-P
49,"Lane, Sam:",Householder,M,Pro-P
50,"Prince, Jos:",Householder,M,Pro-P
51,"Prince, James",Householder,M,Pro-P
52,"Byshop, Edward [III]",Householder,M,Pro-P
53,"Wilkins, Bray",Church Member,M,Pro-P
54,"Putnam, Nath:",Church Member,M,Pro-P
55,"Putnam, Jno. Senr",Church Member,M,Pro-P
56,"Griggs, Wm.",Church Member,M,Pro-P
57,"Ingersoll, Nath:",Church Member,M,Pro-P
58,"Wilkins, Hen:",Church Member,M,Pro-P
59,"Putnam, Tho:",Church Member,M,Pro-P
60,"Wilkins, Benja.",Church Member,M,Pro-P
61,"Fuller, Tho: Junr",Church Member,M,Pro-P
62,"Putnam, Edwd.",Church Member,M,Pro-P
63,"Way, Aaron",Church Member,M,Pro-P
64,"Putnam, Jonath:",Church Member,M,Pro-P
65,"Walcot, Abraham",Church Member,M,Pro-P
66,"Goodale, Zech: Senr",Church Member,M,Pro-P
67,"Abby, Sam:",Church Member,M,Pro-P
68,"Flint, Geo:",Church Member,M,Pro-P
69,"Sibly, Sam:",Church Member,M,Pro-P
70,"Putnam, Benja.",Church Member,M,Pro-P
71,"Way, Wm.",Church Member,M,Pro-P
72,"Putnam, James",Church Member,M,Pro-P
73,"Cheever, Ezek:",Church Member,M,Pro-P
74,"Prescot, Peter",Church Member,M,Pro-P
75,"Putnam, Jno. Junr",Church Member,M,Pro-P
76,"Whipple, Jos:",Church Member,M,Pro-P
77,"Wilkins, Jno.",Church Member,M,Pro-P
78,"Wilkins, Anna",Church Member,F,Pro-P
79,"Putnam, Rebek:",Church Member,F,Pro-P
80,"Griggs, Rachel",Church Member,F,Pro-P
81,"Ingersoll, Han:",Church Member,F,Pro-P
82,"Putnam, Han:",Church Member,F,Pro-P
83,"Wilkins, Priscilla",Church Member,F,Pro-P
84,"Fuller, Ruth",Church Member,F,Pro-P
85,"Putnam, Mary",Church Member,F,Pro-P
86,"Way, Mary",Church Member,F,Pro-P
87,"Putnam, Lidia",Church Member,F,Pro-P
88,"Walcot, Abagail",Church Member,F,Pro-P
89,"Sibly, Mary",Church Member,F,Pro-P
90,"Flint, Eliz:",Church Member,F,Pro-P
91,"Putnam, Sarah",Church Member,F,Pro-P
92,"Way, Percis",Church Member,F,Pro-P
93,"Putnam, Sarah",Church Member,F,Pro-P
94,"Cheever, Abagail",Church Member,F,Pro-P
95,"Prescot, Eliz:",Church Member,F,Pro-P
96,"Putnam, Han:",Church Member,F,Pro-P
97,"Wheldon, Mary",Church Member,F,Pro-P
98,"Walcot, Deliverance",Church Member,F,Pro-P
99,"Fuller, Sarah",Church Member,F,Pro-P
100,"Holton, Abagail",Church Member,F,Pro-P
101,"Darlin, Mary",Church Member,F,Pro-P
102,"Hadlock, Sarah",Church Member,F,Pro-P
103,"Prince, Sarah",Church Member,F,Pro-P
104,"Brown, Han:",Church Member,F,Pro-P
